タイムスタンプ,画像,店舗名,メニュー名,ジャンル,麺,スープ,住所,Google Map URL
2025/05/23 22:32:51,https://drive.google.com/open?id=1mF2GIEWYHwMAfg42odiS_s8IyxM785DP,九州 筑豊ラーメン山小屋 嬉野店,昭和（むかし）ラーメン,ラーメン,細麺,豚骨,佐賀県嬉野市嬉野町大字下宿甲４００２−４,https://maps.app.goo.gl/BvuQTxGsmKLJ68yL9
2025/05/23 22:36:43,https://drive.google.com/open?id=1QAqEcyIjI3yVWIvTZ2NrUTUceaAwOPtw,横浜家系ラーメン 角蔵家,全部乗せラーメン,ラーメン,中太麺,家系,福岡県福岡市博多区博多駅中央街２−１ 8F,https://maps.app.goo.gl/zZpdKaZFgukyKPkMA
2025/05/23 22:38:34,https://drive.google.com/open?id=1WKv8hur1krAoqG8ywq572e5BBWhPdoZH,道玄坂マンモス,濃厚味玉肉入りつけ麺,つけ麺,太麺,ベジポタ,東京都渋谷区道玄坂２丁目１０−１,https://maps.app.goo.gl/1JEhrCDLuQaNZemt9
2025/05/23 22:40:24,https://drive.google.com/open?id=1Llae2hWg0rZV-OL516g8bYCYCcMi5KAz,名島亭 博多デイトス店,煮卵醤油とんこつラーメン,ラーメン,細麺,豚骨,福岡県福岡市博多区博多駅中央街１−１ JR博多シティ 博多デイトス 2F 博多めん街道,https://maps.app.goo.gl/ioPAmSt9pMuWcWgb9
2025/05/23 22:44:03,https://drive.google.com/open?id=1KUXX5UtaGgY1HZNU2Xv_Og4dpLq_FrC2,壱壱家,ネギラーメン,ラーメン,中太麺,家系,福岡県 福岡市 博多区大博町2-14,https://maps.app.goo.gl/iEhr66jfhBhehTvV6
2025/05/23 22:45:21,"https://drive.google.com/open?id=12v4QkiJrlQAIhDIFyPakSn499VgrU1-f, https://drive.google.com/open?id=1fWzEUU9srv_nP-66QiF9MY-UVe8wXAJa, https://drive.google.com/open?id=1TTWMskUZtk37L4dZJGGlpWO5J9eN5zDz, https://drive.google.com/open?id=1_RJeV894nC0e9vSbr7X78btAaVbyC0M5, https://drive.google.com/open?id=1zbAmHoQOPGG_CbloSw5DmqvyqpOtbqDb",歴史を刻め　とくいち　彩華　桐生　虎鉄,ラーメン,ラーメン,太麺,二郎系,,
2025/05/23 22:45:26,https://drive.google.com/open?id=1e7ib8OhIZtzx7LMCrw4LDHPumRf_NWf9,博多 無邪気,ラーメン（並）,ラーメン,中太麺,豚骨,福岡県福岡市博多区博多駅前３丁目２６−１０,https://maps.app.goo.gl/HvSmjhijsPuP4qN6A
2025/05/23 22:48:41,https://drive.google.com/open?id=1Ex1aCJpN3hvQo3EGpERFwawLQVpPuQu-,めんくいや駅東店,ラーメン定食,ラーメン,細麺,豚骨,福岡県福岡市博多区博多駅東2-9-5 池松ビル 1F,https://maps.app.goo.gl/19dgRGiWXKkVKiWX9
2025/05/23 22:48:55,https://drive.google.com/open?id=1nDLbONOWNT9lLh4KsXLFNxn0cSl3bd7N,初代ZERO式,白 豚骨醤油ラーメン,ラーメン,中太麺,豚骨,福岡県福岡市博多区千代３丁目４６−２,https://maps.app.goo.gl/17CTQEVsFxnyVTqS7
2025/05/23 22:59:20,https://drive.google.com/open?id=1ZywFKScZx5dHMX7SsIyOG3pOQ8oqsj8w,ラーメン大学 辰野店,玉子担々麺,ラーメン,細麺,担々麺,長野県上伊那郡辰野町大字伊那富宮木下町3066-2,https://maps.app.goo.gl/ZHPfPaWEiWnVwqcy5
2025/05/23 23:02:31,https://drive.google.com/open?id=1I-5w-Q8FIDJV6-ks7ggbSqdDox--u353,ラーメン二郎ひばりヶ丘駅前店,小ラーメン,ラーメン,太麺,二郎系,東京都西東京市谷戸町３丁目２７−２４ ひばりが丘プラザ ひばりヶ丘プラザ1F,https://maps.app.goo.gl/fibrtQqwRq4gU5699
2025/05/23 23:26:25,https://drive.google.com/open?id=1syUYr83C4sqMN6DKn0LXWnvTSK9aV_PK,ら〜麺 瑞藤,背脂,ラーメン,ちぢれ麺,魚介,千葉県松戸市上本郷３３８６,https://maps.app.goo.gl/SJMzxG5TnWerVS3K7
2025/05/23 23:27:23,https://drive.google.com/open?id=1XfKNabvnZXsaedJounqzJP3-i0lK_adc,麺場 風天,煮干し塩　中華そば,ラーメン,中太麺,塩,東京都品川区東大井５丁目５−８,https://maps.app.goo.gl/wDhB4TjojmXpX3Fm6
2025/05/23 23:28:03,https://drive.google.com/open?id=1R8TUI7Uth4Zd9RfVkg09CCHUkWo1JgrT,麺場 風天,油そば,油そば,中太麺,油そば,東京都品川区東大井５丁目５−８,https://maps.app.goo.gl/wDhB4TjojmXpX3Fm6
